feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105347394	LOC105347394	uncharacterized LOC105347394	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269736	LOC136269736	dynein axonemal heavy chain 2-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320290	LOC105320290	uncharacterized LOC105320290	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341232	LOC105341232	uncharacterized LOC105341232	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348838	LOC105348838	coiled-coil domain-containing protein 115	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328805	LOC105328805	aspartate aminotransferase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328575	LOC105328575	DNA (cytosine-5)-methyltransferase PliMCI	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344453	LOC105344453	band 4.1-like protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345845	LOC105345845	MAPK/MAK/MRK overlapping kinase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336238	LOC105336238	uncharacterized LOC105336238	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682140	LOC117682140	tripartite motif-containing protein 2-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329094	LOC105329094	casein kinase II subunit beta	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323595	LOC105323595	cilia- and flagella-associated protein 100	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338981	LOC105338981	uncharacterized LOC105338981	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335956	LOC105335956	mitogen-activated protein kinase kinase kinase 20	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339941	LOC105339941	probable JmjC domain-containing histone demethylation protein 2C	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317823	LOC105317823	uncharacterized LOC105317823	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687338	LOC117687338	uncharacterized LOC117687338	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343809	LOC105343809	uncharacterized LOC105343809	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325422	LOC105325422	voltage-gated purine nucleotide uniporter SLC17A9	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273587	LOC136273587	uncharacterized LOC136273587	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332572	LOC105332572	FRAS1-related extracellular matrix protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326733	LOC105326733	uncharacterized LOC105326733	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692377	LOC117692377	lisH domain-containing protein ARMC9	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326813	LOC105326813	uncharacterized LOC105326813	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346111	LOC105346111	protein-S-isoprenylcysteine O-methyltransferase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336499	LOC105336499	SET domain-containing protein 9	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330069	LOC105330069	F-box and leucine-rich repeat protein 13	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336529	LOC105336529	steroid receptor RNA activator 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273429	LOC136273429	uncharacterized LOC136273429	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318758	LOC105318758	dynein light chain Tctex-type 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684768	LOC117684768	uncharacterized LOC117684768	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343988	LOC105343988	uncharacterized LOC105343988	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325096	LOC105325096	L-proline trans-4-hydroxylase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274643	LOC136274643	E3 ubiquitin-protein ligase TRIM36-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326436	LOC105326436	uncharacterized LOC105326436	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345682	LOC105345682	uncharacterized LOC105345682	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117693017	LOC117693017	short transient receptor potential channel 7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331025	LOC105331025	poly(A)-specific ribonuclease PNLDC1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323916	LOC105323916	uncharacterized LOC105323916	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317940	LOC105317940	2-oxoadipate dehydrogenase complex component E1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347817	LOC105347817	transcriptional adapter 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319134	LOC105319134	uncharacterized LOC105319134	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345936	LOC105345936	peroxiredoxin-5, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
